,0
1999-01-01,149889.0
1999-02-01,151500.0
1999-03-01,152104.0
1999-04-01,152186.0
1999-05-01,153455.0
1999-06-01,153885.0
1999-07-01,154443.0
1999-08-01,155733.0
1999-09-01,155731.0
1999-10-01,155751.0
1999-11-01,157343.0
1999-12-01,159871.0
2000-01-01,158325.0
2000-02-01,160012.0
2000-03-01,160931.0
2000-04-01,158599.0
2000-05-01,158525.0
2000-06-01,158782.0
2000-07-01,157863.0
2000-08-01,158030.0
2000-09-01,159878.0
2000-10-01,159245.0
2000-11-01,158455.0
2000-12-01,157956.0
2001-01-01,158789.0
2001-02-01,158394.0
2001-03-01,156985.0
2001-04-01,159188.0
2001-05-01,158768.0
2001-06-01,157795.0
2001-07-01,157556.0
2001-08-01,158632.0
2001-09-01,155016.0
2001-10-01,165845.0
2001-11-01,161753.0
2001-12-01,159924.0
2002-01-01,159543.0
2002-02-01,160143.0
2002-03-01,159250.0
2002-04-01,161089.0
2002-05-01,158747.0
2002-06-01,160007.0
2002-07-01,161325.0
2002-08-01,162133.0
2002-09-01,159519.0
2002-10-01,159810.0
2002-11-01,160597.0
2002-12-01,161687.0
2003-01-01,161691.0
2003-02-01,158588.0
2003-03-01,161134.0
2003-04-01,161354.0
2003-05-01,162061.0
2003-06-01,163641.0
2003-07-01,164805.0
2003-08-01,166834.0
2003-09-01,165280.0
2003-10-01,164851.0
2003-11-01,166771.0
2003-12-01,165718.0
2004-01-01,165998.0
2004-02-01,166788.0
2004-03-01,169381.0
2004-04-01,167296.0
2004-05-01,169481.0
2004-06-01,166733.0
2004-07-01,168455.0
2004-08-01,168592.0
2004-09-01,171006.0
2004-10-01,171247.0
2004-11-01,171015.0
2004-12-01,173122.0
2005-01-01,171553.0
2005-02-01,173090.0
2005-03-01,172750.0
2005-04-01,173765.0
2005-05-01,172790.0
2005-06-01,177593.0
2005-07-01,177822.0
2005-08-01,175067.0
2005-09-01,173016.0
2005-10-01,172826.0
2005-11-01,175328.0
2005-12-01,175369.0
2006-01-01,179293.0
2006-02-01,177887.0
2006-03-01,178100.0
2006-04-01,178088.0
2006-05-01,177200.0
2006-06-01,177343.0
2006-07-01,176937.0
2006-08-01,176983.0
2006-09-01,177002.0
2006-10-01,177544.0
2006-11-01,177854.0
2006-12-01,179089.0
2007-01-01,178736.0
2007-02-01,178237.0
2007-03-01,178850.0
2007-04-01,177844.0
2007-05-01,179408.0
2007-06-01,177651.0
2007-07-01,178039.0
2007-08-01,178824.0
2007-09-01,178794.0
2007-10-01,179401.0
2007-11-01,179696.0
2007-12-01,177019.0
2008-01-01,176853.0
2008-02-01,174826.0
2008-03-01,174630.0
2008-04-01,174146.0
2008-05-01,174731.0
2008-06-01,173112.0
2008-07-01,171238.0
2008-08-01,170234.0
2008-09-01,167550.0
2008-10-01,162654.0
2008-11-01,159205.0
2008-12-01,157093.0
2009-01-01,158979.0
2009-02-01,157766.0
2009-03-01,155179.0
2009-04-01,155777.0
2009-05-01,156911.0
2009-06-01,158240.0
2009-07-01,158582.0
2009-08-01,160908.0
2009-09-01,156817.0
2009-10-01,157801.0
2009-11-01,158527.0
2009-12-01,159226.0
2010-01-01,159109.0
2010-02-01,159625.0
2010-03-01,163034.0
2010-04-01,164423.0
2010-05-01,163033.0
2010-06-01,162876.0
2010-07-01,163068.0
2010-08-01,163640.0
2010-09-01,164767.0
2010-10-01,165990.0
2010-11-01,167220.0
2010-12-01,167472.0
2011-01-01,168195.0
2011-02-01,169025.0
2011-03-01,169730.0
2011-04-01,169723.0
2011-05-01,169132.0
2011-06-01,170515.0
2011-07-01,169904.0
2011-08-01,169761.0
2011-09-01,171122.0
2011-10-01,172041.0
2011-11-01,172292.0
2011-12-01,172335.0
2012-01-01,173647.0
2012-02-01,175354.0
2012-03-01,175543.0
2012-04-01,174633.0
2012-05-01,174615.0
2012-06-01,173090.0
2012-07-01,173958.0
2012-08-01,174970.0
2012-09-01,175510.0
2012-10-01,175089.0
2012-11-01,176168.0
2012-12-01,176879.0
2013-01-01,178014.0
2013-02-01,179183.0
2013-03-01,178282.0
2013-04-01,177748.0
2013-05-01,178732.0
2013-06-01,178773.0
2013-07-01,179691.0
2013-08-01,178867.0
2013-09-01,178922.0
2013-10-01,179499.0
2013-11-01,179704.0
2013-12-01,180196.0
2014-01-01,178184.0
2014-02-01,180434.0
2014-03-01,181956.0
2014-04-01,183385.0
2014-05-01,183385.0
2014-06-01,183609.0
2014-07-01,183727.0
2014-08-01,185124.0
2014-09-01,184719.0
2014-10-01,185428.0
2014-11-01,186228.0
2014-12-01,185686.0
2015-01-01,185900.0
2015-02-01,185154.0
2015-03-01,187363.0
2015-04-01,187586.0
2015-05-01,188268.0
2015-06-01,187978.0
2015-07-01,189151.0
2015-08-01,189126.0
2015-09-01,188846.0
2015-10-01,188106.0
2015-11-01,188653.0
2015-12-01,189661.0
2016-01-01,188354.0
2016-02-01,190613.0
2016-03-01,189384.0
2016-04-01,189272.0
2016-05-01,189605.0
2016-06-01,191085.0
2016-07-01,190743.0
2016-08-01,190673.0
2016-09-01,191454.0
2016-10-01,191366.0
2016-11-01,190969.0
2016-12-01,193121.0
2017-01-01,194317.0
2017-02-01,194036.0
2017-03-01,193644.0
2017-04-01,194165.0
2017-05-01,193344.0
2017-06-01,193992.0
2017-07-01,193920.0
2017-08-01,193547.0
2017-09-01,196499.0
2017-10-01,196605.0
2017-11-01,198105.0
2017-12-01,199081.0
2018-01-01,197492.0
2018-02-01,198214.0
2018-03-01,197742.0
2018-04-01,197759.0
2018-05-01,199646.0
2018-06-01,198758.0
2018-07-01,199980.0
2018-08-01,199605.0
2018-09-01,198430.0
2018-10-01,200095.0
2018-11-01,200779.0
2018-12-01,197321.0
2019-01-01,198560.0
2019-02-01,198723.0
2019-03-01,200396.0
2019-04-01,200016.0
2019-05-01,200875.0
2019-06-01,201164.0
2019-07-01,202685.0
2019-08-01,203435.0
2019-09-01,201778.0
2019-10-01,201908.0
2019-11-01,202404.0
2019-12-01,203631.0
2020-01-01,202590.0
2020-02-01,203150.0
2020-03-01,185986.0
2020-04-01,158936.0
2020-05-01,188739.0
2020-06-01,204144.0
2020-07-01,207349.0
2020-08-01,208058.0
2020-09-01,212103.0
2020-10-01,211271.0
2020-11-01,208588.0
2020-12-01,207575.0
2021-01-01,218468.0
2021-02-01,213668.0
2021-03-01,236100.0
2021-04-01,234608.0
2021-05-01,231915.0
2021-06-01,232098.0
2021-07-01,227425.0
2021-08-01,228847.0
2021-09-01,230318.0
2021-10-01,231579.0
2021-11-01,232481.0
2021-12-01,226467.0
2022-01-01,231103.0
2022-02-01,233062.0
2022-03-01,232860.0
2022-04-01,233739.0
2022-05-01,232307.0
2022-06-01,231635.0
2022-07-01,230672.0
2022-08-01,231948.0
2022-09-01,230670.0
2022-10-01,232664.0
2022-11-01,231086.0
